LineId,AppId,Date,Time,Level,Process,Component,Content,EventId,EventTemplate,ParameterList
24,application_1445076437777_0001,2015-10-17,"18:27:24,552",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.JobFinishEvent$Type for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobFinishEventHandler,3a2b3aef,Registering class <*> for class <*>,[]
25,application_1445076437777_0001,2015-10-17,"18:27:24,614",INFO,main,org.apache.hadoop.metrics2.impl.MetricsConfig,loaded properties from hadoop-metrics2.properties,ca7d7941,loaded properties from hadoop-metrics2.properties,[]
26,application_1445076437777_0001,2015-10-17,"18:27:24,739",INFO,main,org.apache.hadoop.metrics2.impl.MetricsSystemImpl,Scheduled snapshot period at 10 second(s).,9e8ad6ab,Scheduled snapshot period at 10 second(s).,[]
27,application_1445076437777_0001,2015-10-17,"18:27:24,739",INFO,main,org.apache.hadoop.metrics2.impl.MetricsSystemImpl,MRAppMaster metrics system started,fc657c96,MRAppMaster metrics system started,[]
28,application_1445076437777_0001,2015-10-17,"18:27:24,755",INFO,main,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,Adding job token for job_1445076437777_0001 to jobTokenSecretManager,9c396752,Adding job token for <*> to jobTokenSecretManager,[]
29,application_1445076437777_0001,2015-10-17,"18:27:24,833",INFO,main,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,Not uberizing job_1445076437777_0001 because: not enabled; too many maps; too much input;,ce54fccc,Not uberizing <*> because: not enabled; too many maps; too much input;,[]
30,application_1445076437777_0001,2015-10-17,"18:27:24,849",INFO,main,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,Input size for job job_1445076437777_0001 = 1256521728. Number of splits = 10,6ab7d897,Input size for job <*> = <*>. Number of splits = 10,[]
31,application_1445076437777_0001,2015-10-17,"18:27:24,849",INFO,main,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,Number of reduces for job job_1445076437777_0001 = 1,6519c35c,Number of reduces for job <*> = 1,[]
32,application_1445076437777_0001,2015-10-17,"18:27:24,849",INFO,main,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,job_1445076437777_0001Job Transitioned from NEW to INITED,3514acb4,<*>Job Transitioned from <*> to <*>,[]
33,application_1445076437777_0001,2015-10-17,"18:27:24,864",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,"MRAppMaster launching normal, non-uberized, multi-container job job_1445076437777_0001.",db930ec6,"MRAppMaster launching normal, non-uberized, multi-container job <*>.",[]
34,application_1445076437777_0001,2015-10-17,"18:27:24,895",INFO,main,org.apache.hadoop.ipc.CallQueueManager,Using callQueue class java.util.concurrent.LinkedBlockingQueue,916d4a74,Using callQueue class java.util.concurrent.LinkedBlockingQueue,[]
35,application_1445076437777_0001,2015-10-17,"18:27:24,911",INFO,Socket Reader #1 for port 53983,org.apache.hadoop.ipc.Server,Starting Socket Reader #1 for port 53983,192d0e3e,Starting Socket Reader #1 for port <*>,[]
36,application_1445076437777_0001,2015-10-17,"18:27:24,942",INFO,main,org.apache.hadoop.yarn.factories.impl.pb.RpcServerFactoryPBImpl,Adding protocol org.apache.hadoop.mapreduce.v2.api.MRClientProtocolPB to the server,8c4d0a72,Adding protocol org.apache.hadoop.mapreduce.v2.api.MRClientProtocolPB to the server,[]
37,application_1445076437777_0001,2015-10-17,"18:27:24,942",INFO,IPC Server listener on 53983,org.apache.hadoop.ipc.Server,IPC Server listener on 53983: starting,73b103d7,IPC Server listener on <*>: starting,[]
38,application_1445076437777_0001,2015-10-17,"18:27:24,942",INFO,IPC Server Responder,org.apache.hadoop.ipc.Server,IPC Server Responder: starting,ccc17099,IPC Server Responder: starting,[]
39,application_1445076437777_0001,2015-10-17,"18:27:24,942",INFO,main,org.apache.hadoop.mapreduce.v2.app.client.MRClientService,Instantiated MRClientService at 04DN8IQ.fareast.corp.microsoft.com/10.86.164.9:53983,81b07bff,Instantiated MRClientService at <*>,[]
40,application_1445076437777_0001,2015-10-17,"18:27:25,020",INFO,main,org.mortbay.log,Logging to org.slf4j.impl.Log4jLoggerAdapter(org.mortbay.log) via org.mortbay.log.Slf4jLog,a79a1702,Logging to org.slf4j.impl.Log4jLoggerAdapter(org.mortbay.log) via org.mortbay.log.Slf4jLog,[]
41,application_1445076437777_0001,2015-10-17,"18:27:25,036",INFO,main,org.apache.hadoop.http.HttpRequestLog,Http request log for http.requests.mapreduce is not defined,0859dbfb,Http request log for http.requests.mapreduce is not defined,[]
42,application_1445076437777_0001,2015-10-17,"18:27:25,052",INFO,main,org.apache.hadoop.http.HttpServer2,Added global filter 'safety' (class=org.apache.hadoop.http.HttpServer2$QuotingInputFilter),a8927e0e,Added global filter 'safety' (class=org.apache.hadoop.http.HttpServer2$QuotingInputFilter),[]
43,application_1445076437777_0001,2015-10-17,"18:27:25,052",INFO,main,org.apache.hadoop.http.HttpServer2,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context mapreduce,ae2086c0,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context <*>,[]
44,application_1445076437777_0001,2015-10-17,"18:27:25,052",INFO,main,org.apache.hadoop.http.HttpServer2,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context static,ae2086c0,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context <*>,[]
45,application_1445076437777_0001,2015-10-17,"18:27:25,052",INFO,main,org.apache.hadoop.http.HttpServer2,adding path spec: /mapreduce/*,c5e95c21,adding path spec: <*>,[]
46,application_1445076437777_0001,2015-10-17,"18:27:25,052",INFO,main,org.apache.hadoop.http.HttpServer2,adding path spec: /ws/*,c5e95c21,adding path spec: <*>,[]
47,application_1445076437777_0001,2015-10-17,"18:27:25,067",INFO,main,org.apache.hadoop.http.HttpServer2,Jetty bound to port 53990,8aa20788,Jetty bound to port <*>,[]
48,application_1445076437777_0001,2015-10-17,"18:27:25,067",INFO,main,org.mortbay.log,jetty-6.1.26,6b77fa65,jetty-6.1.26,[]
49,application_1445076437777_0001,2015-10-17,"18:27:25,098",INFO,main,org.mortbay.log,Extract jar:file:/D:/hadoop-2.6.0-localbox/share/hadoop/yarn/hadoop-yarn-common-2.6.0-SNAPSHOT.jar!/webapps/mapreduce to C:\Users\msrabi\AppData\Local\Temp\Jetty_0_0_0_0_53990_mapreduce____xeyjpj\webapp,1205e906,Extract jar:file:/D:/hadoop-2.6.0-localbox/share/hadoop/yarn/hadoop-yarn-common-2.6.0-SNAPSHOT.jar!/webapps/mapreduce to <*>,[]
50,application_1445076437777_0001,2015-10-17,"18:27:25,317",INFO,main,org.mortbay.log,Started HttpServer2$SelectChannelConnectorWithSafeStartup@0.0.0.0:53990,37897a89,Started HttpServer2$SelectChannelConnectorWithSafeStartup@<*>:<*>,[]
51,application_1445076437777_0001,2015-10-17,"18:27:25,317",INFO,main,org.apache.hadoop.yarn.webapp.WebApps,Web app /mapreduce started at 53990,01425cf2,Web app /mapreduce started at <*>,[]
52,application_1445076437777_0001,2015-10-17,"18:27:25,708",INFO,main,org.apache.hadoop.yarn.webapp.WebApps,Registered webapp guice modules,5ba9445a,Registered webapp guice modules,[]
53,application_1445076437777_0001,2015-10-17,"18:27:25,708",INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.speculate.DefaultSpeculator,JOB_CREATE job_1445076437777_0001,6af6b73e,JOB_CREATE <*>,[]
54,application_1445076437777_0001,2015-10-17,"18:27:25,724",INFO,main,org.apache.hadoop.ipc.CallQueueManager,Using callQueue class java.util.concurrent.LinkedBlockingQueue,916d4a74,Using callQueue class java.util.concurrent.LinkedBlockingQueue,[]
55,application_1445076437777_0001,2015-10-17,"18:27:25,724",INFO,Socket Reader #1 for port 53993,org.apache.hadoop.ipc.Server,Starting Socket Reader #1 for port 53993,192d0e3e,Starting Socket Reader #1 for port <*>,[]
56,application_1445076437777_0001,2015-10-17,"18:27:25,724",INFO,IPC Server Responder,org.apache.hadoop.ipc.Server,IPC Server Responder: starting,ccc17099,IPC Server Responder: starting,[]
57,application_1445076437777_0001,2015-10-17,"18:27:25,724",INFO,IPC Server listener on 53993,org.apache.hadoop.ipc.Server,IPC Server listener on 53993: starting,73b103d7,IPC Server listener on <*>: starting,[]
58,application_1445076437777_0001,2015-10-17,"18:27:25,755",INFO,main,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerRequestor,nodeBlacklistingEnabled:true,8b1732f5,nodeBlacklistingEnabled:true,[]
59,application_1445076437777_0001,2015-10-17,"18:27:25,755",INFO,main,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerRequestor,maxTaskFailuresPerNode is 3,17dc3b51,maxTaskFailuresPerNode is 3,[]
60,application_1445076437777_0001,2015-10-17,"18:27:25,755",INFO,main,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerRequestor,blacklistDisablePercent is 33,93a481e4,blacklistDisablePercent is 33,[]
61,application_1445076437777_0001,2015-10-17,"18:27:25,817",INFO,main,org.apache.hadoop.yarn.client.RMProxy,Connecting to ResourceManager at msra-sa-41/10.190.173.170:8030,c7f3ffdf,Connecting to ResourceManager at msra-sa-41/<*>:8030,[]
62,application_1445076437777_0001,2015-10-17,"18:27:25,958",INFO,main,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,"maxContainerCapability: <memory:8192, vCores:32>",d0cf8682,"maxContainerCapability: <memory:8192, vCores:32>",[]
63,application_1445076437777_0001,2015-10-17,"18:27:25,958",INFO,main,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,queue: default,62365dbe,queue: default,[]
64,application_1445076437777_0001,2015-10-17,"18:27:25,958",INFO,main,org.apache.hadoop.mapreduce.v2.app.launcher.ContainerLauncherImpl,Upper limit on the thread pool size is 500,361211a0,Upper limit on the thread pool size is 500,[]
65,application_1445076437777_0001,2015-10-17,"18:27:25,958",INFO,main,org.apache.hadoop.yarn.client.api.impl.ContainerManagementProtocolProxy,yarn.client.max-cached-nodemanagers-proxies : 0,2b3d75c5,yarn.client.max-cached-nodemanagers-proxies : 0,[]
66,application_1445076437777_0001,2015-10-17,"18:27:25,958",INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,job_1445076437777_0001Job Transitioned from INITED to SETUP,3514acb4,<*>Job Transitioned from <*> to <*>,[]
67,application_1445076437777_0001,2015-10-17,"18:27:25,974",INFO,CommitterEvent Processor #0,org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventHandler,Processing the event EventType: JOB_SETUP,8825a75c,Processing the event EventType: <*>,[]
68,application_1445076437777_0001,2015-10-17,"18:27:25,989",INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,job_1445076437777_0001Job Transitioned from SETUP to RUNNING,3514acb4,<*>Job Transitioned from <*> to <*>,[]
69,application_1445076437777_0001,2015-10-17,"18:27:26,005",INFO,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,6659e8b0,Resolved <*> to /default-rack,[]
70,application_1445076437777_0001,2015-10-17,"18:27:26,005",INFO,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,6659e8b0,Resolved <*> to /default-rack,[]
71,application_1445076437777_0001,2015-10-17,"18:27:26,005",INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskImpl,task_1445076437777_0001_m_000000 Task Transitioned from NEW to SCHEDULED,3be0b589,<*> Task Transitioned from <*> to <*>,[]
72,application_1445076437777_0001,2015-10-17,"18:27:26,005",INFO,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,6659e8b0,Resolved <*> to /default-rack,[]
73,application_1445076437777_0001,2015-10-17,"18:27:26,005",INFO,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,6659e8b0,Resolved <*> to /default-rack,[]
74,application_1445076437777_0001,2015-10-17,"18:27:26,020",INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskImpl,task_1445076437777_0001_m_000001 Task Transitioned from NEW to SCHEDULED,3be0b589,<*> Task Transitioned from <*> to <*>,[]
75,application_1445076437777_0001,2015-10-17,"18:27:26,020",INFO,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,6659e8b0,Resolved <*> to /default-rack,[]
76,application_1445076437777_0001,2015-10-17,"18:27:26,020",INFO,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,6659e8b0,Resolved <*> to /default-rack,[]
77,application_1445076437777_0001,2015-10-17,"18:27:26,020",INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskImpl,task_1445076437777_0001_m_000002 Task Transitioned from NEW to SCHEDULED,3be0b589,<*> Task Transitioned from <*> to <*>,[]
78,application_1445076437777_0001,2015-10-17,"18:27:26,020",INFO,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,6659e8b0,Resolved <*> to /default-rack,[]
79,application_1445076437777_0001,2015-10-17,"18:27:26,020",INFO,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,6659e8b0,Resolved <*> to /default-rack,[]
80,application_1445076437777_0001,2015-10-17,"18:27:26,020",INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskImpl,task_1445076437777_0001_m_000003 Task Transitioned from NEW to SCHEDULED,3be0b589,<*> Task Transitioned from <*> to <*>,[]
81,application_1445076437777_0001,2015-10-17,"18:27:26,020",INFO,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,6659e8b0,Resolved <*> to /default-rack,[]
82,application_1445076437777_0001,2015-10-17,"18:27:26,020",INFO,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,6659e8b0,Resolved <*> to /default-rack,[]
83,application_1445076437777_0001,2015-10-17,"18:27:26,020",INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskImpl,task_1445076437777_0001_m_000004 Task Transitioned from NEW to SCHEDULED,3be0b589,<*> Task Transitioned from <*> to <*>,[]
84,application_1445076437777_0001,2015-10-17,"18:27:26,020",INFO,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,6659e8b0,Resolved <*> to /default-rack,[]
85,application_1445076437777_0001,2015-10-17,"18:27:26,020",INFO,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,6659e8b0,Resolved <*> to /default-rack,[]
86,application_1445076437777_0001,2015-10-17,"18:27:26,020",INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskImpl,task_1445076437777_0001_m_000005 Task Transitioned from NEW to SCHEDULED,3be0b589,<*> Task Transitioned from <*> to <*>,[]
87,application_1445076437777_0001,2015-10-17,"18:27:26,020",INFO,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,6659e8b0,Resolved <*> to /default-rack,[]
88,application_1445076437777_0001,2015-10-17,"18:27:26,020",INFO,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,6659e8b0,Resolved <*> to /default-rack,[]
89,application_1445076437777_0001,2015-10-17,"18:27:26,020",INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskImpl,task_1445076437777_0001_m_000006 Task Transitioned from NEW to SCHEDULED,3be0b589,<*> Task Transitioned from <*> to <*>,[]
90,application_1445076437777_0001,2015-10-17,"18:27:26,020",INFO,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,6659e8b0,Resolved <*> to /default-rack,[]
91,application_1445076437777_0001,2015-10-17,"18:27:26,020",INFO,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,6659e8b0,Resolved <*> to /default-rack,[]
92,application_1445076437777_0001,2015-10-17,"18:27:26,020",INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskImpl,task_1445076437777_0001_m_000007 Task Transitioned from NEW to SCHEDULED,3be0b589,<*> Task Transitioned from <*> to <*>,[]
93,application_1445076437777_0001,2015-10-17,"18:27:26,020",INFO,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,6659e8b0,Resolved <*> to /default-rack,[]
94,application_1445076437777_0001,2015-10-17,"18:27:26,020",INFO,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,6659e8b0,Resolved <*> to /default-rack,[]
95,application_1445076437777_0001,2015-10-17,"18:27:26,020",INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskImpl,task_1445076437777_0001_m_000008 Task Transitioned from NEW to SCHEDULED,3be0b589,<*> Task Transitioned from <*> to <*>,[]
96,application_1445076437777_0001,2015-10-17,"18:27:26,020",INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskImpl,"Recovering task task_1445076437777_0001_m_000009 from prior app attempt, status was SUCCEEDED",a4f4ef26,"Recovering task <*> from prior app attempt, status was SUCCEEDED",[]
97,application_1445076437777_0001,2015-10-17,"18:27:26,020",INFO,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,6659e8b0,Resolved <*> to /default-rack,[]
98,application_1445076437777_0001,2015-10-17,"18:27:26,020",INFO,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,6659e8b0,Resolved <*> to /default-rack,[]
99,application_1445076437777_0001,2015-10-17,"18:27:26,020",INFO,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved 04DN8IQ.fareast.corp.microsoft.com to /default-rack,6659e8b0,Resolved <*> to /default-rack,[]
100,application_1445076437777_0001,2015-10-17,"18:27:26,020",INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl,TaskAttempt: [attempt_1445076437777_0001_m_000009_0] using containerId: [container_1445076437777_0001_01_000011 on NM: [04DN8IQ.fareast.corp.microsoft.com:52150],c1fd6443,TaskAttempt: <*> using containerId: <*> on NM: <*>,[]
101,application_1445076437777_0001,2015-10-17,"18:27:26,036",INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl,attempt_1445076437777_0001_m_000009_0 TaskAttempt Transitioned from NEW to SUCCEEDED,63fbbb87,<*> TaskAttempt Transitioned from <*> to <*>,[]
102,application_1445076437777_0001,2015-10-17,"18:27:26,036",INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskImpl,Task succeeded with attempt attempt_1445076437777_0001_m_000009_0,007ded00,Task succeeded with attempt <*>,[]
103,application_1445076437777_0001,2015-10-17,"18:27:26,036",INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskImpl,task_1445076437777_0001_m_000009 Task Transitioned from NEW to SUCCEEDED,3be0b589,<*> Task Transitioned from <*> to <*>,[]
104,application_1445076437777_0001,2015-10-17,"18:27:26,052",INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskImpl,task_1445076437777_0001_r_000000 Task Transitioned from NEW to SCHEDULED,3be0b589,<*> Task Transitioned from <*> to <*>,[]
105,application_1445076437777_0001,2015-10-17,"18:27:26,052",INFO,eventHandlingThread,org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler,"Event Writer setup for JobId: job_1445076437777_0001, File: hdfs://msra-sa-41:9000/tmp/hadoop-yarn/staging/msrabi/.staging/job_1445076437777_0001/job_1445076437777_0001_2.jhist",954065f5,"Event Writer setup for JobId: <*>, File: <*>",[]
